customer_id,month,feature,active_users,total_seats,usage_percentage,feature_requests,login_frequency
CUST_0001,2022-06,Email_Security,1,5,-8.0,1,8.9
CUST_0001,2022-06,Threat_Intelligence,1,5,-6.6,2,6.3
CUST_0001,2022-06,Archive,1,5,-6.2,0,6.5
CUST_0001,2022-06,Continuity,1,5,-7.8,0,11.8
CUST_0001,2022-06,API_Access,1,5,-5.2,0,10.4
CUST_0001,2022-06,Mobile_App,1,5,-9.6,0,14.7
CUST_0001,2022-06,Admin_Console,1,5,-6.2,0,13.2
CUST_0001,2022-07,Email_Security,1,5,4.1,1,8.6
CUST_0001,2022-07,Threat_Intelligence,1,5,2.5,0,20.2
CUST_0001,2022-07,Archive,1,5,2.6,4,5.1
CUST_0001,2022-07,Continuity,1,5,2.2,0,5.3
CUST_0001,2022-07,API_Access,1,5,3.7,1,6.5
CUST_0001,2022-07,Mobile_App,1,5,3.1,0,5.3
CUST_0001,2022-07,Admin_Console,1,5,2.6,1,21.3
CUST_0001,2022-08,Email_Security,1,5,18.8,0,5.1
CUST_0001,2022-08,Threat_Intelligence,1,5,18.8,0,15.3
CUST_0001,2022-08,Archive,1,5,7.3,0,23.6
CUST_0001,2022-08,Continuity,1,5,7.4,0,9.7
CUST_0001,2022-08,API_Access,1,5,11.9,0,9.8
CUST_0001,2022-08,Mobile_App,1,5,17.7,1,12.4
CUST_0001,2022-08,Admin_Console,1,5,8.4,0,15.6
CUST_0001,2022-09,Email_Security,1,5,27.0,3,17.9
CUST_0001,2022-09,Threat_Intelligence,1,5,22.0,1,21.7
CUST_0001,2022-09,Archive,1,5,26.6,0,16.8
CUST_0001,2022-09,Continuity,1,5,12.1,0,9.3
CUST_0001,2022-09,API_Access,1,5,12.9,0,7.4
CUST_0001,2022-09,Mobile_App,1,5,15.7,0,21.1
CUST_0001,2022-09,Admin_Console,1,5,17.4,1,5.6
CUST_0001,2022-10,Email_Security,1,5,29.1,0,5.5
CUST_0001,2022-10,Threat_Intelligence,1,5,25.7,0,8.2
CUST_0001,2022-10,Archive,1,5,23.6,1,23.9
CUST_0001,2022-10,Continuity,2,5,42.3,1,16.4
CUST_0001,2022-10,API_Access,2,5,40.3,0,12.3
CUST_0001,2022-10,Mobile_App,2,5,45.7,0,16.5
CUST_0001,2022-10,Admin_Console,2,5,44.6,1,24.4
CUST_0001,2022-11,Email_Security,1,5,23.8,1,17.5
CUST_0001,2022-11,Threat_Intelligence,2,5,45.5,0,5.9
CUST_0001,2022-11,Archive,2,5,60.0,2,14.3
CUST_0001,2022-11,Continuity,3,5,62.4,2,24.0
CUST_0001,2022-11,API_Access,3,5,63.1,1,18.2
CUST_0001,2022-11,Mobile_App,1,5,33.3,1,10.5
CUST_0001,2022-11,Admin_Console,2,5,49.7,1,24.0
CUST_0001,2022-12,Email_Security,1,5,29.4,2,10.7
CUST_0001,2022-12,Threat_Intelligence,2,5,57.1,1,17.1
CUST_0001,2022-12,Archive,3,5,64.4,0,23.5
CUST_0001,2022-12,Continuity,1,5,39.2,1,6.8
CUST_0001,2022-12,API_Access,2,5,57.1,2,17.6
CUST_0001,2022-12,Mobile_App,1,5,33.5,0,16.0
CUST_0001,2022-12,Admin_Console,2,5,48.0,0,17.6
CUST_0001,2023-01,Email_Security,3,5,61.8,1,10.7
CUST_0001,2023-01,Threat_Intelligence,4,5,80.3,1,10.7
CUST_0001,2023-01,Archive,2,5,49.8,1,24.6
CUST_0001,2023-01,Continuity,1,5,39.4,1,8.4
CUST_0001,2023-01,API_Access,3,5,77.7,1,12.4
CUST_0001,2023-01,Mobile_App,1,5,37.4,1,17.3
CUST_0001,2023-01,Admin_Console,1,5,33.1,1,19.0
CUST_0001,2023-02,Email_Security,2,5,52.8,0,9.7
CUST_0001,2023-02,Threat_Intelligence,3,5,78.7,2,7.1
CUST_0001,2023-02,Archive,2,5,55.2,0,7.8
CUST_0001,2023-02,Continuity,3,5,62.5,1,5.6
CUST_0001,2023-02,API_Access,1,5,30.6,0,14.0
CUST_0001,2023-02,Mobile_App,3,5,68.4,0,20.2
CUST_0001,2023-02,Admin_Console,4,5,84.1,1,13.1
CUST_0001,2023-03,Email_Security,1,5,37.9,4,12.1
CUST_0001,2023-03,Threat_Intelligence,4,5,89.7,1,12.3
CUST_0001,2023-03,Archive,2,5,51.9,0,6.4
CUST_0001,2023-03,Continuity,4,5,87.3,0,18.6
CUST_0001,2023-03,API_Access,1,5,34.1,0,9.6
CUST_0001,2023-03,Mobile_App,3,5,73.6,1,24.0
CUST_0001,2023-03,Admin_Console,2,5,55.4,0,21.2
CUST_0001,2023-04,Email_Security,2,5,49.0,0,6.1
CUST_0001,2023-04,Threat_Intelligence,3,5,61.6,1,16.4
CUST_0001,2023-04,Archive,2,5,52.4,0,8.6
CUST_0001,2023-04,Continuity,2,5,48.1,0,9.2
CUST_0001,2023-04,API_Access,3,5,65.4,1,11.2
CUST_0001,2023-04,Mobile_App,3,5,64.0,0,6.1
CUST_0001,2023-04,Admin_Console,2,5,52.5,0,10.3
CUST_0001,2023-05,Email_Security,3,5,74.7,1,9.3
CUST_0001,2023-05,Threat_Intelligence,3,5,70.8,0,11.4
CUST_0001,2023-05,Archive,4,5,86.3,1,23.4
CUST_0001,2023-05,Continuity,3,5,65.0,0,11.4
CUST_0001,2023-05,API_Access,2,5,57.6,1,16.5
CUST_0001,2023-05,Mobile_App,3,5,74.1,1,20.2
CUST_0001,2023-05,Admin_Console,4,5,85.9,0,17.7
CUST_0001,2023-06,Email_Security,3,5,61.9,1,13.7
CUST_0001,2023-06,Threat_Intelligence,3,5,74.6,1,11.0
CUST_0001,2023-06,Archive,3,5,73.1,0,16.6
CUST_0001,2023-06,Continuity,2,5,55.8,0,12.8
CUST_0001,2023-06,API_Access,1,5,37.4,1,9.7
CUST_0001,2023-06,Mobile_App,4,5,82.9,1,19.3
CUST_0001,2023-06,Admin_Console,2,5,59.7,1,17.5
CUST_0001,2023-07,Email_Security,3,5,63.6,2,12.9
CUST_0001,2023-07,Threat_Intelligence,4,5,87.3,2,12.5
CUST_0001,2023-07,Archive,2,5,58.1,0,20.4
CUST_0001,2023-07,Continuity,4,5,88.2,0,24.9
CUST_0001,2023-07,API_Access,3,5,71.6,1,22.0
CUST_0001,2023-07,Mobile_App,3,5,78.1,1,6.8
CUST_0001,2023-07,Admin_Console,2,5,45.9,0,22.1
CUST_0001,2023-08,Email_Security,3,5,78.3,0,7.0
CUST_0001,2023-08,Threat_Intelligence,2,5,41.1,1,5.5
CUST_0001,2023-08,Archive,2,5,51.6,0,14.8
CUST_0001,2023-08,Continuity,2,5,43.0,0,22.0
CUST_0001,2023-08,API_Access,1,5,38.6,0,19.1
CUST_0001,2023-08,Mobile_App,3,5,71.9,0,9.3
CUST_0001,2023-08,Admin_Console,3,5,71.0,0,9.2
CUST_0001,2023-09,Email_Security,4,5,89.9,1,13.1
CUST_0001,2023-09,Threat_Intelligence,2,5,45.5,0,8.7
CUST_0001,2023-09,Archive,3,5,63.6,0,7.7
CUST_0001,2023-09,Continuity,2,5,44.4,0,8.3
CUST_0001,2023-09,API_Access,2,5,53.7,0,21.1
CUST_0001,2023-09,Mobile_App,4,5,87.8,0,12.5
CUST_0001,2023-09,Admin_Console,4,5,81.6,0,18.1
CUST_0001,2023-10,Email_Security,2,5,45.5,0,13.8
CUST_0001,2023-10,Threat_Intelligence,4,5,85.1,1,17.4
CUST_0001,2023-10,Archive,3,5,72.5,1,9.5
CUST_0001,2023-10,Continuity,3,5,62.1,0,11.8
CUST_0001,2023-10,API_Access,1,5,38.4,0,7.7
CUST_0001,2023-10,Mobile_App,3,5,71.2,0,5.4
CUST_0001,2023-10,Admin_Console,1,5,35.6,1,18.8
CUST_0001,2023-11,Email_Security,1,5,30.0,0,13.5
CUST_0001,2023-11,Threat_Intelligence,2,5,41.3,1,20.2
CUST_0001,2023-11,Archive,2,5,40.5,0,10.6
CUST_0001,2023-11,Continuity,1,5,38.3,0,24.2
CUST_0001,2023-11,API_Access,2,5,59.7,0,6.4
CUST_0001,2023-11,Mobile_App,3,5,65.5,0,8.0
CUST_0001,2023-11,Admin_Console,3,5,66.5,0,21.0
CUST_0001,2023-12,Email_Security,2,5,59.0,0,21.4
CUST_0001,2023-12,Threat_Intelligence,4,5,81.7,0,11.6
CUST_0001,2023-12,Archive,2,5,46.1,0,11.8
CUST_0001,2023-12,Continuity,4,5,83.8,0,6.2
CUST_0001,2023-12,API_Access,4,5,85.6,0,11.5
CUST_0001,2023-12,Mobile_App,3,5,64.1,0,17.2
CUST_0001,2023-12,Admin_Console,1,5,34.2,1,16.0
CUST_0001,2024-01,Email_Security,2,5,43.3,0,5.6
CUST_0001,2024-01,Threat_Intelligence,3,5,73.0,0,12.9
CUST_0001,2024-01,Archive,2,5,47.1,0,9.9
CUST_0001,2024-01,Continuity,3,5,70.4,1,8.7
CUST_0001,2024-01,API_Access,3,5,75.5,0,24.9
CUST_0001,2024-01,Mobile_App,3,5,73.5,1,8.0
CUST_0001,2024-01,Admin_Console,1,5,37.7,0,14.0
CUST_0001,2024-02,Email_Security,2,5,58.0,2,9.1
CUST_0001,2024-02,Threat_Intelligence,1,5,34.5,1,22.7
CUST_0001,2024-02,Archive,3,5,60.4,1,24.2
CUST_0001,2024-02,Continuity,4,5,87.3,1,13.0
CUST_0001,2024-02,API_Access,2,5,47.9,1,14.6
CUST_0001,2024-02,Mobile_App,4,5,85.5,1,13.9
CUST_0001,2024-02,Admin_Console,2,5,42.4,1,12.2
CUST_0001,2024-03,Email_Security,2,5,44.3,0,21.0
CUST_0001,2024-03,Threat_Intelligence,2,5,50.1,0,11.3
CUST_0001,2024-03,Archive,3,5,67.4,0,20.9
CUST_0001,2024-03,Continuity,1,5,38.1,1,10.8
CUST_0001,2024-03,API_Access,3,5,73.7,1,5.8
CUST_0001,2024-03,Mobile_App,2,5,58.4,0,19.2
CUST_0001,2024-03,Admin_Console,3,5,73.7,1,7.6
CUST_0001,2024-04,Email_Security,2,5,59.8,0,5.4
CUST_0001,2024-04,Threat_Intelligence,3,5,68.9,0,13.7
CUST_0001,2024-04,Archive,3,5,76.9,1,12.3
CUST_0001,2024-04,Continuity,2,5,40.0,3,14.1
CUST_0001,2024-04,API_Access,1,5,38.3,1,16.4
CUST_0001,2024-04,Mobile_App,1,5,30.1,0,23.5
CUST_0001,2024-04,Admin_Console,3,5,79.8,0,5.3
CUST_0001,2024-05,Email_Security,1,5,32.4,0,19.1
CUST_0001,2024-05,Threat_Intelligence,2,5,41.5,2,15.2
CUST_0001,2024-05,Archive,4,5,88.9,0,17.7
CUST_0001,2024-05,Continuity,3,5,77.6,0,23.9
CUST_0001,2024-05,API_Access,4,5,83.0,0,20.9
CUST_0001,2024-05,Mobile_App,4,5,86.8,1,19.6
CUST_0001,2024-05,Admin_Console,2,5,47.0,1,14.0
CUST_0001,2024-06,Email_Security,2,5,48.9,0,14.7
CUST_0001,2024-06,Threat_Intelligence,3,5,65.2,1,7.1
CUST_0001,2024-06,Archive,4,5,85.5,2,24.6
CUST_0001,2024-06,Continuity,3,5,71.9,0,16.4
CUST_0001,2024-06,API_Access,2,5,59.1,0,16.5
CUST_0001,2024-06,Mobile_App,3,5,62.5,1,10.6
CUST_0001,2024-06,Admin_Console,4,5,89.8,1,20.8
CUST_0004,2023-02,Email_Security,1,25,-3.5,1,23.3
CUST_0004,2023-02,Threat_Intelligence,1,25,-4.7,2,5.7
CUST_0004,2023-02,Archive,1,25,-5.8,0,22.8
CUST_0004,2023-02,Continuity,1,25,-6.1,1,5.3
